iter	Logloss
0	0.6711146204
1	0.6512533648
2	0.6327700765
3	0.6142850279
4	0.5989986855
5	0.5828264592
6	0.5707889824
7	0.5588457575
8	0.5454120393
9	0.5323661846
10	0.5184140153
11	0.5097939221
12	0.4987662158
13	0.49084303
14	0.4843066681
15	0.4771947909
16	0.4696487703
17	0.4629725523
18	0.4578383279
19	0.4511067044
20	0.4445863318
21	0.4390238663
22	0.4327673884
23	0.4281807295
24	0.4221132861
25	0.416833213
26	0.4102150344
27	0.4059817012
28	0.4014883707
29	0.3973570436
30	0.394520934
31	0.3906408889
32	0.3869678093
33	0.3832822523
34	0.3795185297
35	0.3771813425
36	0.374242049
37	0.3702829035
38	0.3683264258
39	0.3638890825
40	0.3605086094
41	0.3573003877
42	0.3558313797
43	0.3527238038
44	0.3508815277
45	0.3478089998
46	0.3463278314
47	0.3440348041
48	0.3417217162
49	0.3389479442
50	0.337986824
51	0.3358102804
52	0.3333584463
53	0.3315572506
54	0.3296484212
55	0.3281692345
56	0.3269547561
57	0.3247754452
58	0.3215379956
59	0.3186330961
60	0.3169506736
61	0.3158143032
62	0.3137310607
63	0.311578454
64	0.3098922035
65	0.3087665508
66	0.3071626297
67	0.305507252
68	0.3041920938
69	0.3023577827
70	0.2994345339
71	0.2984533764
72	0.2970850546
73	0.2947526612
74	0.2932066502
75	0.2920106955
76	0.2892503137
77	0.2880937318
78	0.2869016964
79	0.2854614051
80	0.2845845257
81	0.2840274136
82	0.2832765954
83	0.2821549584
84	0.2803524224
85	0.2795601406
86	0.2781195132
87	0.2762939104
88	0.2742144593
89	0.2717972709
90	0.2694873097
91	0.2681146758
92	0.2669218973
93	0.2638071261
94	0.2624128321
95	0.2603824208
96	0.2580060453
97	0.255773915
98	0.2533857378
99	0.2521242526
100	0.2499834962
101	0.2478276715
102	0.2456850712
103	0.243231746
104	0.2419015841
105	0.2407930732
106	0.2394100058
107	0.2379299318
108	0.2366753575
109	0.2356941781
110	0.2340608731
111	0.2332121058
112	0.2321832884
113	0.2313565725
114	0.2299007128
115	0.2281337407
116	0.2268889529
117	0.2258376031
118	0.2250295023
119	0.2243205268
120	0.2234325589
121	0.2209332606
122	0.2187814785
123	0.2179524253
124	0.21561262
125	0.2145620771
126	0.2130284141
127	0.2119852918
128	0.210633753
129	0.2080943064
130	0.2069308365
131	0.2064283487
132	0.2049351785
133	0.203513711
134	0.2001702652
135	0.1990098287
136	0.1979118202
137	0.1971700442
138	0.1959927806
139	0.1951991942
140	0.1940359851
141	0.1938561524
142	0.1926658055
143	0.1916323127
144	0.1908831242
145	0.1900712635
146	0.1899100897
147	0.1888278513
148	0.1880826281
149	0.1873356337
150	0.1869335515
151	0.1866451982
152	0.1860807177
153	0.1833484411
154	0.1818552354
155	0.1799261942
156	0.1778061227
157	0.1769276101
158	0.1752954791
159	0.1743008643
160	0.1729253333
161	0.1720284363
162	0.1712822554
163	0.1707638537
164	0.1696643079
165	0.1689400429
166	0.1680978851
167	0.1663551784
168	0.1651817543
169	0.1639443671
170	0.1629276677
171	0.1619695431
172	0.1601204861
173	0.1591466369
174	0.1581638982
175	0.1568241788
176	0.1563049799
177	0.155449423
178	0.1535247041
179	0.1525947769
180	0.151538989
181	0.1507294335
182	0.1497069946
183	0.1486582837
184	0.1475278319
185	0.1467316942
186	0.145673125
187	0.1450508217
188	0.144315933
189	0.1435293221
190	0.1428281394
191	0.142301078
192	0.1414906513
193	0.1399107276
194	0.1392363252
195	0.1378918485
196	0.1372302369
197	0.1354856619
198	0.134699982
199	0.133728257
200	0.1330933013
201	0.1323550567
202	0.1316425184
203	0.1309094667
204	0.1307929568
205	0.1294809603
206	0.1284174088
207	0.1274864435
208	0.126646881
209	0.1258290942
210	0.125317416
211	0.1244537156
212	0.1243376354
213	0.1239505349
214	0.1230111529
215	0.1226191311
216	0.1219181363
217	0.120942963
218	0.1203702921
219	0.1190340222
220	0.1189582022
221	0.117819122
222	0.117401533
223	0.1172375726
224	0.1171624405
225	0.1171291433
226	0.1166051051
227	0.1161835316
228	0.1156582745
229	0.1149738376
230	0.1144119908
231	0.1134411742
232	0.1127172976
233	0.1114592477
234	0.1112057546
235	0.1103027576
236	0.1102723482
237	0.1101862605
238	0.1098538044
239	0.109397819
240	0.1081719928
241	0.1072821228
242	0.1058440691
243	0.105196387
244	0.1042192988
245	0.1036928619
246	0.1028877787
247	0.1014694819
248	0.1007264684
249	0.09996885323
250	0.09977392569
251	0.09922511519
252	0.09878302609
253	0.09851261232
254	0.09766057584
255	0.09729982585
256	0.09682000207
257	0.0960041523
258	0.09541211245
259	0.09462469671
260	0.0937059827
261	0.09346296787
262	0.09293598373
263	0.09263139236
264	0.09182646798
265	0.09116405568
266	0.08993813817
267	0.08958551942
268	0.08936293358
269	0.08877061227
270	0.08853291011
271	0.08781308139
272	0.08724387506
273	0.0868024576
274	0.08603744391
275	0.08556358
276	0.0851896757
277	0.08467064543
278	0.08438078078
279	0.0838998341
280	0.08361906831
281	0.08304319731
282	0.08260165598
283	0.08198960583
284	0.08173777127
285	0.0813620736
286	0.08095688064
287	0.08042349292
288	0.07986269055
289	0.07946945167
290	0.0790278458
291	0.07863348112
292	0.07795774181
293	0.07725424825
294	0.07702176106
295	0.07652774439
296	0.07635405354
297	0.07592778904
298	0.07569042008
299	0.07530499261
